,MedInc
19464,3.4667
13265,2.4667
5829,4.9042
5111,4.0625
19761,1.7708
19608,3.2396
5678,6.2028
11922,3.4491
16070,4.8036
6446,7.1885
8110,2.9514
16905,2.8393
17434,2.9271
13126,4.4306
12853,2.4844
5410,6.2583
5197,1.449
13823,2.1781
9958,6.3427
6374,9.4667
12890,3.6786
17642,4.6845
16541,4.0815
1199,1.7885
19940,2.2333
16167,4.7328
14707,3.7167
10817,3.9917
7656,3.6477
15893,2.9063
15536,2.082
2939,2.1078
18485,4.5714
511,13.499
16631,3.4762
9837,2.9309
1052,3.2135
5917,1.9688
12088,3.1103
11396,7.2845
17566,3.0096
108,3.9
10526,3.3125
4864,1.6089
4125,4.0909
20252,3.125
3204,4.2396
3913,3.5313
15747,2.5721
7854,3.2813
9027,7.7848
12254,2.2925
10,3.2031
9180,5.8703
4025,3.855
10532,4.877
15067,2.3221
6049,3.0429
17663,5.8479
12833,3.6429
16338,5.6147
8244,1.5603
17486,3.2115
7717,3.5481
16316,2.0091
13171,3.6333
15600,4.2321
7211,2.761
9220,2.9861
12665,3.3878
7386,1.9041
20174,5.2681
1148,2.3917
16356,3.5379
2491,2.4937
5935,8.2827
10883,6.2452
16991,6.1228
8811,6.5704
12343,3.4886
10174,3.7054
5134,1.9556
19546,1.75
18405,4.2885
5507,4.875
20029,2.6944
8964,5.1322
5843,3.3897
10371,6.7543
15950,3.4605
8934,2.6736
4366,6.4459
5582,2.6136
5722,6.207000000000001
4106,8.0499
5199,1.4329
1765,4.0927
9164,5.2887
13941,1.875
13229,8.5282
9218,1.7279
15374,2.375
19016,4.5568
1104,2.8657
2535,2.4917
19302,4.7422
11707,1.1912
2052,2.0294
9277,4.9286
789,3.7895
1316,3.5368
5698,5.7083
20266,3.087
5587,3.125
13462,3.7198
3784,3.3177
19679,1.5613
16470,1.8575
16464,3.8672
7413,2.5913
10731,6.6544
11613,4.8
17687,4.775
2411,3.625
2629,3.5363
11201,1.425
14674,2.5953
5290,7.0285
11967,2.0742
9836,3.0383
